2024-10-07,224.2532747,225.4419694,221.0867604,221.4463654,39505400
2024-10-08,224.0534954,225.7316418,223.0046463,225.5218811,31855700
2024-10-09,224.982474,229.4975109,224.5829197,229.287735,33591100
2024-10-10,227.5296745,229.2477855,226.9203443,228.7882843,28183500
2024-10-11,229.0480035,229.1578832,227.0901508,227.2999268,31759200
2024-10-14,228.4486582,231.475327,228.3487772,231.0458069,39882100
2024-10-15,233.3532606,237.2290013,232.1146179,233.5930023,64751400
2024-10-16,231.3454737,231.8648912,229.5873982,231.5252686,34082200
2024-10-17,233.173459,233.5930109,230.2666686,231.8948669,32993800
2024-10-18,235.9204256,235.9204256,233.7528123,234.7417297,46431500
2024-10-21,234.1923402,236.5897118,234.1923402,236.220108,36254500
2024-10-22,233.6329633,235.9604045,232.3443877,235.6007996,38846600
2024-10-23,233.8227521,234.8815848,227.5096904,230.5063934,52287000
2024-10-24,229.7272567,230.5663451,228.15899,230.3166199,31109500
2024-10-25,229.4875226,232.9636938,229.3177112,231.1556854,38802300
2024-10-28,233.063595,234.4720338,232.2944369,233.1434937,36087100
2024-10-29,232.8438271,234.0724711,232.0646856,233.4131927,35417200
2024-10-30,232.3543582,233.2134136,229.2977236,229.8471222,47070900
2024-10-31,229.087951,229.577418,225.1223128,225.6617279,64370100
2024-11-01,220.7271534,225.1023447,220.0279258,222.6650238,65276700
2024-11-04,220.7471384,222.545148,219.4685464,221.7660065,44944500
2024-11-05,221.5562415,223.7038725,220.8969632,223.204422,28111300
2024-11-06,222.3653553,225.8215595,220.9469177,222.475235,54561100
2024-11-07,224.383137,227.6295653,224.3232054,227.2299957,42137700
2024-11-08,227.1699982,228.6600037,226.4100037,226.9600067,38328800
2024-11-11,225,225.6999969,221.5,224.2299957,42005600
2024-11-12,224.5500031,225.5899963,223.3600006,224.2299957,40398300
2024-11-13,224.0099945,226.6499939,222.7599945,225.1199951,48566200
2024-11-14,225.0200043,228.8699951,225,228.2200012,44923900
2024-11-15,226.3999939,226.9199982,224.2700043,225,47923700
2024-11-18,225.25,229.7400055,225.1699982,228.0200043,44686000
2024-11-19,226.9799957,230.1600037,226.6600037,228.2799988,36211800
2024-11-20,228.0599976,229.9299927,225.8899994,229,35169600
2024-11-21,228.8800049,230.1600037,225.7100067,228.5200043,42108300
2024-11-22,228.0599976,230.7200012,228.0599976,229.8699951,38168300
2024-11-25,,231.4600067,233.25,229.7400055,232.8699951,90152800
2024-11-26,233.3300018,235.5700073,233.3300018,235.0599976,45986200
2024-11-27,234.4700012,235.6900024,233.8099976,234.9299927,33498400
2024-11-29,234.8099976,237.8099976,233.9700012,237.3300018,28481400
